camp,action,skill,n,accuracy,mean_posterior,z,violation
alien,kill,expert,14465,0.0127,0.2403,-64.06,False
alien,kill,mid,38563,0.0121,0.2398,-104.73,False
alien,kill,novice,17295,0.0129,0.2415,-70.23,False
alien,vote,expert,12303,0.1196,0.2461,-32.57,False
alien,vote,mid,33233,0.1165,0.2464,-54.95,False
alien,vote,novice,14853,0.1221,0.2492,-35.80,False
foreigner,check,expert,2604,0.2012,0.2928,-10.27,False
foreigner,check,mid,7265,0.2187,0.2950,-14.26,False
foreigner,check,novice,3379,0.2205,0.2936,-9.34,False
foreigner,kill,expert,3046,0.1215,0.1423,-3.29,False
foreigner,kill,mid,8610,0.1429,0.1491,-1.62,False
foreigner,kill,novice,4175,0.1619,0.1538,1.46,False
foreigner,vote,expert,5035,0.4183,0.4141,0.61,False
foreigner,vote,mid,14190,0.4322,0.4264,1.39,False
foreigner,vote,novice,6722,0.4198,0.4221,-0.37,False
human,check,expert,10333,0.2262,0.2767,-11.49,False
human,check,mid,28248,0.2233,0.2717,-18.27,False
human,check,novice,12642,0.2244,0.2750,-12.73,False
human,shoot,expert,77,0.6104,0.8419,-5.57,False
human,shoot,mid,193,0.6684,0.8580,-7.55,False
human,shoot,novice,86,0.7442,0.9002,-4.83,False
human,vote,expert,39080,0.3000,0.4009,-40.71,False
human,vote,mid,104653,0.3040,0.3999,-63.35,False
human,vote,novice,47383,0.3054,0.4030,-43.29,False
